Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;2053444509;420115293
Paquetes de unidifusi¢n;2518371;1384083
Paquetes no de unidifusi¢n;37719;22302
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;2053678230;420290721
Paquetes de unidifusi¢n;2519244;1384902
Paquetes no de unidifusi¢n;37719;22302
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;2053700406;420309801
Paquetes de unidifusi¢n;2519460;1385127
Paquetes no de unidifusi¢n;37737;22302
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;2053882782;420812388
Paquetes de unidifusi¢n;2519964;1385874
Paquetes no de unidifusi¢n;37944;22329
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;2077082784;422291385
Paquetes de unidifusi¢n;2539125;1389843
Paquetes no de unidifusi¢n;37971;22338
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;2077177203;422400231
Paquetes de unidifusi¢n;2539584;1390374
Paquetes no de unidifusi¢n;38016;22356
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;2077203078;422484399
Paquetes de unidifusi¢n;2539728;1390527
Paquetes no de unidifusi¢n;38016;22464
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;2078679006;500459229
Paquetes de unidifusi¢n;2547639;1447128
Paquetes no de unidifusi¢n;38016;22752
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;2082616866;821045623
Paquetes de unidifusi¢n;2578617;1678366
Paquetes no de unidifusi¢n;38025;22806
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;2264228123;1045136974
Paquetes de unidifusi¢n;2725890;1880934
Paquetes no de unidifusi¢n;38205;22833
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;2455725717;1306714914
Paquetes de unidifusi¢n;2882484;2112858
Paquetes no de unidifusi¢n;38205;22833
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;2673532106;1553502555
Paquetes de unidifusi¢n;3061369;2334402
Paquetes no de unidifusi¢n;38214;22860
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;2877870857;1842525358
Paquetes de unidifusi¢n;3229023;2582321
Paquetes no de unidifusi¢n;38214;22923
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;3076840683;1997766441
Paquetes de unidifusi¢n;3386223;2727126
Paquetes no de unidifusi¢n;38214;22950
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;3409609455;2220083604
Paquetes de unidifusi¢n;3642318;2929005
Paquetes no de unidifusi¢n;38214;22950
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;3684742254;2481214329
Paquetes de unidifusi¢n;3857958;3157668
Paquetes no de unidifusi¢n;38214;22986
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;3895365563;2707011208
Paquetes de unidifusi¢n;4026686;3359239
Paquetes no de unidifusi¢n;38214;23031
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;4099243158;2940888789
Paquetes de unidifusi¢n;4190265;3568950
Paquetes no de unidifusi¢n;38214;23058
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;11543;3220892955
Paquetes de unidifusi¢n;4350303;3810834
Paquetes no de unidifusi¢n;38214;23058
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;174765803;3441242268
Paquetes de unidifusi¢n;4492800;4005793
Paquetes no de unidifusi¢n;38214;23094
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;340766034;3676804632
Paquetes de unidifusi¢n;4628792;4207636
Paquetes no de unidifusi¢n;38214;23121
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;522719438;3916126800
Paquetes de unidifusi¢n;4777461;4418352
Paquetes no de unidifusi¢n;38214;23148
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;690452465;4144216428
Paquetes de unidifusi¢n;4916304;4613058
Paquetes no de unidifusi¢n;38214;23148
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;855353084;4277932704
Paquetes de unidifusi¢n;5050233;4740813
Paquetes no de unidifusi¢n;38214;23148
Descartados;0;0
Errores;0;0
Protocolos desconocidos;0
Estad¡sticas de interfaz;Recibidos;Enviados
Bytes;1036861853;174431732
